,Date,Tweet
0,2020-01-01 07:01:00,\u30d4\u30ab\u30d4\u30ab
1,2020-01-01 07:01:00,\u767d\u9be84\u9023\u6557\uff08A\u59292\u56de\uff09246\u793a\u55062\u56de\n\u6301\u3061\u30e1\u30c0\u30eb\u306a\u305723000\u5186\u6295\u8cc7\u4e2d\n\u30ec\u30e0\u819d\u6795\n\u3053\u306e\u72b6\u614b\u3067\u8ffd\u3046\u304b\u3069\u3046\u304b\u60a9\u3093\u3067\u308b
2,2020-01-01 07:01:00,RT @SugieTaishi: \u3042\u3051\u307e\u3057\u3066\u304a\u3081\u3067\u3068\u3046\u3054\u3056\u3044\u307e\u3059\u3002 https:\/\/t.co\/N2XsP4qk9R
3,2020-01-01 07:01:00,"RT @haris_azhar: Melihat luasan Banjir, apakah sebanding dengan luasan kerja Ahok atau Anies selama ini. Ini ulah kita semua.. bukan waktun\u2026"
4,2020-01-01 07:01:00,@BTS_twt \ud83d\udc9c\ud649\ud53c\ub274\uc774\uc5b4\ud83d\udc9c
5,2020-01-01 07:01:00,\u30c8\u30ec\u30f3\u30c9\u5165\u308a\u3057\u3066\u3066\u7b11\u3063\u3066\u3057\u307e\u3063\u305f
6,2020-01-01 07:01:00,RT @Kirby_JP: \u4eca\u65e5\u306f\u5143\u65e6\uff01\u3055\u3059\u304c\u306e\u308f\u308c\u308f\u308c\u3082\u304a\u4ed5\u4e8b\u306f\u304a\u4f11\u307f\u3057\u3066\u3001\u307f\u3093\u306a\u3067\u308f\u3044\u308f\u3044\u5c4b\u5185\u904a\u3073\u3067\u3059\u3063\uff01\n\u30ab\u30fc\u30d3\u30a3\u3055\u3093\u304c\u3069\u3053\u304b\u304b\u3089\u6301\u3063\u3066\u304d\u305f\u30b3\u30ec\u306f\u2026\uff1f\u3075\u3080\u3001\u306a\u308b\u307b\u3069\uff01\u76ee\u304b\u304f\u3057\u3092\u3057\u305f\u307e\u307e\u4e0a\u624b\u306b\u30d1\u30fc\u30c4\u3092\u304a\u304f\u30b2\u30fc\u30e0\u307f\u305f\u3044\u3067\u3059\u306d\uff01\n\u3067\u306f\u3067\u306f\u3055\u3063\u305d\u304f\u2026\u3048\u3044\u3063\u3001\u3048\u3044\u3063\u3001\u3068\u304a\u3063\uff01\u3069\u3046\u3067\u2026
7,2020-01-01 07:01:00,RT @yousuck2020: \ud83c\udf8d\u8b39\u8cc0\u65b0\u5e74\ud83c\udf8d\n\n\u3010\u7dcf\u984d10\u5104\u5186\u3011#\u524d\u6fa4\u304a\u5e74\u7389 100\u4e07\u5186\u30921000\u4eba\u306b\u30d7\u30ec\u30bc\u30f3\u30c8\u3057\u307e\u3059\uff01\n\n100\u4e07\u5186\u3067\u7686\u3055\u307e\u306e\u4eba\u751f\u304c\u3088\u308a\u30cf\u30c3\u30d4\u30fc\u306b\u306a\u308a\u307e\u3059\u3088\u3046\u306b\u3002\n\n\u5fdc\u52df\u65b9\u6cd5\u306f\u50d5\u306e\u30d5\u30a9\u30ed\u30fc\u3068\u3053\u306e\u30c4\u30a4\u30fc\u30c8\u306e\u30ea\u30c4\u30a4\u30fc\u30c8\u3002\u7de0\u5207\u306f1\u67087\u65e523:59\u307e\u3067\u3002\n\n\u4f01\u753b\u8da3\u65e8\u2026
8,2020-01-01 07:01:00,\u898b\u308d\u3001\u30c7\u30fc\u30bf\u304c\u30b4\u30df\u306e\u3088\u3046\u3060\u3002\u3010\u89e3\u8aac\u3011 kaihiraishi \u8a9e\u9332\u3002
9,2020-01-01 07:01:00,@Janaijanai1990 Unmai thedinaal thollai mattume micham
